add-m,1,100,200,76441,382,0
add-yield-m,1,100,200,111981,559,0
add-s,1,100,200,75141,375,0
add-yield-s,1,100,200,96591,482,0
add-c,1,100,200,53430,267,0
add-yield-c,1,100,200,93851,469,0
add-m,1,1000,2000,90071,45,0
add-yield-m,1,1000,2000,490686,245,0
add-s,1,1000,2000,77641,38,0
add-yield-s,1,1000,2000,426735,213,0
add-c,1,1000,2000,95712,47,0
add-yield-c,1,1000,2000,412725,206,0
add-m,1,10000,20000,362325,18,0
add-yield-m,1,10000,20000,3701345,185,0
add-s,1,10000,20000,301624,15,0
add-yield-s,1,10000,20000,5300524,265,0
add-c,1,10000,20000,310514,15,0
add-yield-c,1,10000,20000,2311008,115,0
add-m,1,100000,200000,2034445,10,0
add-yield-m,1,100000,200000,29630649,148,0
add-s,1,100000,200000,2129516,10,0
add-yield-s,1,100000,200000,28231853,141,0
add-c,1,100000,200000,1075353,5,0
add-yield-c,1,100000,200000,27398364,136,0
add-none,1,10,20,64990,3249,0
add-yield-none,1,10,20,73331,3666,0
add-none,1,20,40,66741,1668,0
add-yield-none,1,20,40,62841,1571,0
add-none,1,40,80,61201,765,0
add-yield-none,1,40,80,77841,973,0
add-none,1,80,160,51991,324,0
add-yield-none,1,80,160,90231,563,0
add-none,1,100,200,63021,315,0
add-yield-none,1,100,200,97872,489,0
add-none,1,1000,2000,71341,35,0
add-yield-none,1,1000,2000,479836,239,0
add-none,1,10000,20000,148672,7,0
add-yield-none,1,10000,20000,5370696,268,0
add-none,1,100000,200000,860851,4,0
add-yield-none,1,100000,200000,29994733,149,0
add-m,2,100,400,97771,244,0
add-yield-m,2,100,400,190293,475,0
add-s,2,100,400,85601,214,0
add-yield-s,2,100,400,154242,385,0
add-c,2,100,400,75621,189,0
add-yield-c,2,100,400,202242,505,0
add-m,2,1000,4000,235203,58,0
add-yield-m,2,1000,4000,1310046,327,0
add-s,2,1000,4000,123101,30,0
add-yield-s,2,1000,4000,1329126,332,0
add-c,2,1000,4000,122882,30,0
add-yield-c,2,1000,4000,1285395,321,0
add-m,2,10000,40000,2620202,65,0
add-yield-m,2,10000,40000,10089574,252,0
add-s,2,10000,40000,2803963,70,0
add-yield-s,2,10000,40000,8926648,223,0
add-c,2,10000,40000,716739,17,0
add-yield-c,2,10000,40000,8708355,217,0
add-m,2,100000,400000,20442217,51,0
add-yield-m,2,100000,400000,92786566,231,0
add-s,2,100000,400000,18708177,46,0
add-yield-s,2,100000,400000,73036956,182,0
add-c,2,100000,400000,9899701,24,0
add-yield-c,2,100000,400000,73903787,184,0
add-none,2,10,40,80291,2007,0
add-yield-none,2,10,40,73791,1844,0
add-none,2,20,80,64331,804,0
add-yield-none,2,20,80,77271,965,0
add-none,2,40,160,65261,407,0
add-yield-none,2,40,160,89101,556,19
add-none,2,80,320,61430,191,0
